"Date","Work","Rating","Verdict","Url"
"2025-11-11","Lights Out","2.5/5","AIFF 2025: Enah Johnscott Illuminates the Fragility of Memory and the Fading Architecture of Care in “Lights Out” - Finds a thoughtful study of memory and care, though not fully strong enough to match its ideas.","https://afrocritik.com/enah-johnscott-lights-out-review-aiff-2025/"
"2025-11-10","The Herd","3.4/5","“The Herd” Review: Daniel Etim Effiong’s Debut Feature Is Taut and Human - Calls the debut tense, humane, and emotionally grounded.","https://afrocritik.com/daniel-etim-effiong-the-herd-review/"
"2025-11-01","Finding Optel","3/5","“Finding Optel” Review: A Tender, Uneven Portrait of Ordinary Lives and the Quiet Radicalism of Small Stories - Sees a gentle portrait of ordinary lives whose small-story radicalism is touching but uneven.","https://afrocritik.com/jesse-mikayla-joy-brown-finding-optel-review/"
"2025-10-24","Thinline","2/5","“Thinline” Review: Nollywood’s Dangerous Blind Spot on Male Sexual Assault and the Illusion of Morality - Critiques Nollywood's moral blind spot around male sexual assault and the film's dangerous framing.","https://afrocritik.com/akay-mason-thinline-review/"
"2025-09-15","The Serpent’s Gift","1.9/5","“The Serpent’s Gift” Review: Kayode Kasum’s Film Is Undone by Shallow Cultural Detail - Faults the film for shallow cultural detail that weakens the story's emotional and thematic claims.","https://afrocritik.com/kayode-kasum-the-serpents-gift-review/"
"2025-09-10","Say Who Die?","1.7/5","“Say Who Die?” Review: Paul Utomiʼs Film Crumbles Under the Weight of its Own Ambition - Finds the film too ambitious for its structure, causing its ideas to collapse under their own weight.","https://afrocritik.com/paul-utomi-say-who-die-review/"
"2025-08-16","Devil is a Liar","1.6/5","“Devil is a Liar” Review: Moses Inwangʼs Film Lies About the Story It Is Telling - Argues the film misrepresents its own story and fails to make its drama convincing.","https://afrocritik.com/moses-inwang-devil-is-a-liar-review/"
"2025-08-14","Cordelia","2.9/5","“Cordelia” Review: Tunde Kelani’s Return to Cinemas is an Ambitious but Inconsistent Adaptation - Welcomes Kelani's ambition and return to cinemas, while noting inconsistencies in adaptation and execution.","https://afrocritik.com/tunde-kelani-cordelia-review/"
"2025-08-12","PLS RT","3/5","“PLS RT” Review: Ifeanyi Barbara Chidi’s Film Brings Urgency to Nigeria’s Kidnapping Crisis - Credits the film with bringing urgency and social focus to Nigeria's kidnapping crisis.","https://afrocritik.com/ifeanyi-barbara-chidi-pls-rt-review/"
"2025-08-07","Marked","3.2/5","“Marked” Review: The South African Netflix Series Is a Devastating Portrait of Moral Desperation - Finds the South African series a forceful portrait of moral desperation under pressure.","https://afrocritik.com/marked-review-the-south-african-netflix-series-is-a-devastating-portrait-of-moral-desperation/"
"2025-07-26","Catalog","3.5/5","“Catalog” Review: The Egyptian Netflix Series Is Quiet But Speaks Volumes - Describes the Egyptian series as quiet, restrained, and emotionally articulate.","https://afrocritik.com/waleed-el-halfawy-catalog-review/"
"2025-07-05","Ms. Kanyin","1.5/5","“Ms. Kanyin” Review: Jerry Ossaiʼs Wannabe Horror Flick is Forgettable - Dismisses the horror attempt as thin, forgettable, and unable to generate lasting fear.","https://afrocritik.com/jerry-ossai-ms-kanyin-review/"
"2025-06-24","The Moral High Court","2.7/5","“The Moral High Court” Review: Chisom Ifeakandu’s Film Puts Patriarchy on Trial - Sees a courtroom-style critique that puts patriarchy on trial with pointed intent.","https://afrocritik.com/chisom-ifeakandu-the-moral-high-court-review/"
"2025-05-26","Soccer Season: Playmaker","2.5/5","“Soccer Season: Playmaker” Review: Stephina Zwane’s Sports Drama Finds Power in Its Humour - Finds humour and warmth in the sports drama, even where the film remains modest.","https://afrocritik.com/stephina-zwane-soccer-season-playmaker-review/"
"2025-05-19","The Fire and the Moth","2.9/5","“The Fire and the Moth” Review: Taiwo Egunjobi Has Grown in Confidence as a Filmmaker - Notes Egunjobi's growing confidence while suggesting the film still has uneven patches.","https://afrocritik.com/taiwo-egunjobi-the-fire-and-the-moth-review/"
"2025-04-28","Landline","2.5/5","“Landline” Review: Dele Doherty’s Debut Feature Is Held Back by Its Own Ambition - Finds an ambitious debut held back by the weight of what it tries to carry.","https://afrocritik.com/dele-doherty-landline-review/"
"2025-04-24","Meet the Khumalos","1.5/5","“Meet the Khumalos” Review: Will South African Cinema Ever Move Beyond Forbidden Love Tropes? - Criticises the film for leaning on familiar forbidden-love tropes without enough freshness or depth.","https://afrocritik.com/meet-the-khumalos-review/"
"2025-04-14","Recall","1.3/5","“Recall” Review: Kunle Afolayan’s Return to the Big Screens Is Largely Forgettable - Calls Afolayan's big-screen return largely forgettable despite the expectations around it.","https://afrocritik.com/kunle-afolayan-recall-review/"
"2025-03-22","Fine Girl","3/5","“Fine Girl” Review: Fatimah Gimsay’s Film Is a Subversive Take On Modern Harassment and Female Empowerment - Reads the film as a subversive, socially aware take on harassment and female empowerment.","https://afrocritik.com/fatimah-gimsay-fine-girl-review/"
"2025-03-17","This Is Love","3/5","“This Is Love” Review: Njoku and Nonso’s Documentary Is a Tender Exploration of Queer Nigerian Love and Identity - Praises the documentary's tenderness in exploring queer Nigerian love, intimacy, and identity.","https://afrocritik.com/this-is-love-review-victor-ugoo-njoku-neec-nonso/"
"2025-02-03","Penance","2/5","“Penance” Review: Awal Abdulfatai’s Film Fails to Deliver on Its Premise - Finds the premise promising but says the film fails to deliver on it.","https://afrocritik.com/awal-abdulfatai-penance-review/"
"2025-01-11","Mr Easy Loo","2.9/5","“Mr Easy Loo” Review: The Mandla Ngcongwane-Directed Film Is a Humorous Critique of Apartheid Era South Africa - Sees a humorous, socially conscious critique of apartheid-era South Africa.","https://afrocritik.com/mandla-ngcongwane-mr-easy-loo-review/"
"2025-01-04","Dahomey","4/5","“Dahomey” Review: Mati Diop’s Documentary is a Powerful Commentary on Decolonisation - Praises Diop's documentary as a powerful, thoughtful work on restitution and decolonisation.","https://afrocritik.com/mati-diop-dahomey-review/"
"2024-12-24","Seven Doors","3.5/5","“Seven Doors” Review: Femi Adebayo’s Directorial Debut is Impressive - Finds Adebayo's directorial debut impressive, especially in its historical and dramatic ambition.","https://afrocritik.com/femi-adebayo-seven-doors-review/"
"2024-12-20","A Danfo Christmas","2.9/5","“A Danfo Christmas” Review: Sebastian Ukwa is Committed to Telling Heartfelt Stories - Credits Ukwa's commitment to heartfelt storytelling while noting the film's limits.","https://afrocritik.com/sebastian-ukwa-a-danfo-christmas-review/"
"2024-12-19","Everybody Loves Jenifa","2.7/5","“Everybody Loves Jenifa” Review: Funke Akindele’s Latest Film Is a Worthy Addition to the ‘Jenifa’ Franchise - Sees the entry as a worthy, crowd-pleasing addition to the Jenifa franchise.","https://afrocritik.com/funke-akindele-everybody-loves-jenifa-review/"
"2024-11-27","A Ghetto Love Story","2.9/5","“A Ghetto Love Story” Review: Basketmouth’s First Foray Into Film Production Is Impressive - Finds Basketmouth's first film-production effort more impressive than expected.","https://afrocritik.com/basketmouth-a-ghetto-love-story-review/"
"2024-11-19","Umjolo: The Gone Girl","1.5/5","“Umjolo: The Gone Girl” Review: Fikile Mogodi’s Debut Feature Lacks Substance - Faults the debut for lacking dramatic substance beneath its relationship premise.","https://afrocritik.com/fikile-mogodi-umjolo-the-gone-girl-review/"
"2024-11-14","Loose Cannon","2/5","“Loose Cannon” Review: Olisa Eloka’s Short Film Is a Reminder of War’s Devastating Consequences - Reads the short as a compact reminder of war's human cost and lingering damage.","https://afrocritik.com/olisa-eloka-loose-cannon-review/"
"2024-11-09","Hijack ‘93","1.5/5","“Hijack ‘93” Review: Robert O. Peters’ Thriller Fails to Take Flight - Finds the thriller unable to build enough tension or momentum to take off.","https://afrocritik.com/robert-o-peters-hijack-93-review/"
"2024-10-26","At Ease","2.5/5","“At Ease” Review: Seun Richards’ Directorial Debut Is a Refreshing Take on War Trauma - Praises the debut as a fresh, thoughtful approach to war trauma.","https://afrocritik.com/seun-richards-at-ease-review/"
"2024-09-30","Tejiri","2/5","“Tejiri” Is a Timely Commentary on Justice and Governance in Africa - Sees the film as timely political commentary on justice and governance in Africa.","https://afrocritik.com/tejiri-review-timely-commentary-on-justice/"
"2024-08-24","Family Vacation","2/5","“Family Vacation” Review: Voline Ogutu’s Feature Film Unpacks the Facade of Social Media Perfection - Credits the film for exposing social media perfection as a fragile facade.","https://afrocritik.com/voline-ogutu-family-vacation-review/"
"2024-08-14","With Difficulty Comes Ease","3/5","“With Difficulty Comes Ease” Review: Korede Azeez’s Film Is a Masterful Blend of Art and Heart - Praises Azeez's film as an emotionally rich blend of craft and feeling.","https://afrocritik.com/with-difficulty-comes-ease-review-korede-azeez/"
"2024-07-27","Onye Egwu","1.9/5","“Onye Egwu” Review: The Uche Jombo-Directed Film is a Near Miss - Calls the film a near miss, with potential that does not quite convert into a win.","https://afrocritik.com/uche-jombo-onye-egwu-movie-review/"
"2024-07-22","Mapantsula","3/5","“Mapantsula” Review: Oliver Schmitz’s Crime-Drama is a Gripping Portrayal of Apartheid-Era South Africa - Praises the crime drama as a gripping portrait of apartheid-era South Africa.","https://afrocritik.com/oliver-schmitz-mapantsula-review/"
"2024-06-09","A Father’s Love","2/5","“A Father’s Love” Review: Sebastian Ukwa Directs a Poignant Story With Subtlety and Nuance - Finds the drama poignant and subtle, though not rated as highly as the praise suggests.","https://afrocritik.com/a-fathers-love-review-sebastian-ukwa-story/"
"2024-06-01","Kill Boro","2.8/5","“Kill Boro” Review: Courage Obayuwana’s Debut Feature Leaves A Lasting Impression - Credits the debut with emotional force and a lasting impression.","https://afrocritik.com/kill-boro-review-courage-obayuwanas-debut/"
"2024-05-11","Momiwa","2.8/5","“Momiwa” Review: Family is Redefined in the Biodun Stephen-Directed Drama - Highlights a warm redefinition of family through care, effort, and chosen bonds.","https://afrocritik.com/momiwa-review-biodun-stephen-directed-drama/"
"2024-05-03","Strained","2.9/5","“Strained” Review: Okechukwu Oku’s Film is Simple Yet Sophisticated - Praises the film's simple structure and surprisingly sophisticated emotional handling.","https://afrocritik.com/strained-review-okechukwu-oku-film/"
"2024-04-23","Soweto Blaze","1.7/5","“Soweto Blaze” Review: Brad Katzen’s Film Fizzles in Its Slapstick Attempt - Finds the slapstick comedy fizzles despite its attempt at broad humour.","https://afrocritik.com/soweto-blaze-review-brad-katzen-film/"
"2024-04-06","Heart of the Hunter","1.5/5","“Heart of the Hunter” Review: Another Action Thriller That Flatters to Deceive - Dismisses the action thriller as another flashy but unconvincing genre entry.","https://afrocritik.com/heart-of-the-hunter-review-action-thriller/"
"2024-03-23","Abomkhulu","2.7/5","“Abomkhulu” Review: The Kganki Mphahlele-Directed Film is Fresh, Funny and Filled With Lessons - Finds the film fresh, funny, and lesson-filled, with accessible charm.","https://afrocritik.com/abomkhulu-review-kganki-mphahlele-film/"
"2024-02-05","Soon Comes Night","2.9/5","“Soon Comes Night” Review: In This South African Crime Drama, There Are No Heroes - Sees the crime drama as morally bleak, refusing simple heroes.","https://afrocritik.com/soon-comes-night-review-south-african-crime-drama/"
"2023-12-06","Come With Me","2.8/5","“Come With Me” Review: Simplicity Takes Centre Stage in Baaj Adebule’s Directorial Debut - Credits the debut with a simple, restrained approach that keeps the story central.","https://afrocritik.com/come-with-me-review-simplicity-takes-centre-stage-in-baaj-adebules-directorial-debut/"
"2023-11-13","Nganù","2.5/5","“Nganù” Review: Kang Quintus’ Film is an Audacious Exploration of Trauma and Redemption - Praises the Cameroonian film's bold engagement with trauma and redemption.","https://afrocritik.com/nganu-review-kang-quintus-film-is-an-audacious-exploration-of-trauma-and-redemption/"
"2023-10-25","Ijogbon","2.5/5","“Ijogbon” Review: The Kunle Afolayan Directed-Film is Relatable But Lacks Attention to Detail - Finds the film relatable but weakened by lapses in detail and craft.","https://afrocritik.com/ijogbon-review-the-kunle-afolayan-directed-film-is-relatable-but-lacks-attention-to-detail/"
"2023-09-27","The Black Book","3/5","“The Black Book” Review: The Editi Effiong-Directed Film Is a Reflection of Nigeria’s Socio-Political Realities - Reads the film as a reflection of Nigeria's social and political realities.","https://afrocritik.com/the-black-book-review-the-editi-effiong-directed-film-is-a-reflection-of-nigerias-socio-political-realities/"
